,slug,state,Total Stores,Normal,Temporary closure,Opening Soon,Take away only,Percentage Open
0,eastgardens,NSW,215,210.0,5.0,,,98.0
1,mtdruitt,NSW,202,199.0,3.0,,,99.0
2,booragoon,WA,185,183.0,1.0,1.0,,99.0
3,liverpool,NSW,263,260.0,2.0,1.0,,99.0
4,miranda,NSW,377,367.0,9.0,1.0,,97.0
5,hurstville,NSW,217,212.0,4.0,,1.0,98.0
6,northlakes,QLD,251,234.0,15.0,2.0,,93.0
7,southland,VIC,331,45.0,266.0,4.0,16.0,14.0
8,geelong,VIC,147,68.0,61.0,,18.0,46.0
9,penrith,NSW,265,256.0,7.0,,2.0,97.0
10,carousel,WA,313,302.0,11.0,,,96.0
11,kotara,NSW,229,218.0,9.0,1.0,1.0,95.0
12,doncaster,VIC,379,67.0,275.0,15.0,22.0,18.0
13,coomera,QLD,143,139.0,4.0,,,97.0
14,chermside,QLD,399,390.0,6.0,3.0,,98.0
15,chatswood,NSW,233,223.0,9.0,1.0,,96.0
16,belconnen,ACT,240,227.0,11.0,2.0,,95.0
17,woden,ACT,185,179.0,6.0,,,97.0
18,helensvale,QLD,163,148.0,11.0,4.0,,91.0
19,parramatta,NSW,363,352.0,10.0,1.0,,97.0
20,bondijunction,NSW,298,285.0,9.0,4.0,,96.0
21,sydney,NSW,255,227.0,25.0,3.0,,89.0
22,airportwest,VIC,153,41.0,96.0,1.0,15.0,27.0
23,warringahmall,NSW,333,327.0,4.0,2.0,,98.0
24,plentyvalley,VIC,176,42.0,107.0,,27.0,24.0
25,tuggerah,NSW,211,208.0,3.0,,,99.0
26,hornsby,NSW,262,247.0,8.0,7.0,,94.0
27,burwood,NSW,212,210.0,,2.0,,99.0
28,marion,SA,281,273.0,7.0,1.0,,97.0
29,teatreeplaza,SA,212,207.0,5.0,,,98.0
30,carindale,QLD,334,317.0,17.0,,,95.0
31,whitfordcity,WA,216,213.0,3.0,,,99.0
32,innaloo,WA,106,105.0,1.0,,,99.0
33,gardencity,QLD,360,340.0,20.0,,,94.0
34,fountaingate,VIC,381,81.0,266.0,,34.0,21.0
35,westlakes,SA,188,188.0,,,,100.0
36,knox,VIC,300,56.0,204.0,9.0,31.0,19.0
